sentiment_id,user_name,tweet,longitude,latitude,sentiment
movies_1573870435.239817,Sean Keane,@jessespector @bubbaprog Special cameo by Brady Anderson going to the movies and cutting a hole in the bottom of his box of steroids.,-118.6684,33.704536,Negative
movies_1573870442.772689,🇳🇬,I know you know.. @TheHeatherAlex what is this from ?,-83.31684,42.35518,Neutral
movies_1573870457.05771,Tommy X-TrumpIsARacist-opher,"Wait, so not all of the Avengers movies are on Disney plus, or am I doing it wrong?",-74.40643,39.53835,Negative
movies_1573870487.22348,P-lon Musk,you old that’s what you missing 😂,100.576164,13.677903,Negative
movies_1573870489.815146,SI Not Found,Just sayin...if the replay viewer had these updates the frag movies would only get better👀,-118.6684,33.704536,Neutral
movies_1573870558.364672,Sofia Wylie,High School Musical The Series Cast Guesses Disney Channel Original Movies https://t.co/LUw4dgcFwa via @YouTube,-118.6684,33.704536,Positive
movies_1573870600.269982,#CoreyInDaHouse,So we laying up and watching movies tonight or nah ?,-83.72824,32.49587,Neutral
movies_1573870604.939749,caro,"a fact: me and my siblings love i mean  LOVE horror movies/games, my one year old brother stops crying when my mom plays the movie ‘mama’",-121.98742,37.989864,Positive
movies_1573870712.49688,_basic_mo,i’m honestly so happy Disney+ has all of the Star Wars movies,-112.32391,33.29026,Positive
movies_1573870777.585995,Sawyer,@RiseUP_11 @Blitz_OTH They make movies about upsets like these,-84.97577,40.60643,Neutral
movies_1573870785.275214,Jonathan Judge,Fun to play the game of “January or February” for all the clear bombs finally making their way into previews in November movies.,-87.79023,41.967915,Negative
movies_1573870787.877673,Cinefanatics,"Technically, @WilliamBibbiani is a movie guy. And @BrendanKJMeyer is in movies...and he’s a guy.

So how do they do… https://t.co/R9f6RxgTeM",-97.92893,30.127892,Neutral
movies_1573870816.449997,Bob ' The Bear' Murphy,Both are Christmas movies by the way.,-93.20779,44.89075,Neutral
movies_1573870833.935507,𝓫𝓪𝓼𝓼 𝓹𝓮𝓪𝓬𝓱,"In a mood for new pj’s, a fire, and cheesy hallmark movies till I pass out",-104.05351,39.999752,Negative
movies_1573870873.414548,secret,nothing like watching barbie movies in front of my xmas tree 😌,-86.34844,39.631676,Neutral
movies_1573870878.580395,Brandon Teel,"With Joker being the only R-rated film to hit the $1 billion mark, I hope more comic book movies decide to take the… https://t.co/vLMW2Fo4NL",-150.03526,61.043884,Positive
movies_1573870908.520116,Andrew Sink,"@MrCarefulGamer @googlefi @ATT Ahh, hadn't thought of that. I use 10-15 GB / month (lots of movies in airports and… https://t.co/wqwJtlLYVD",-81.046875,35.001705,Neutral
movies_1573870909.604852,Conor mcgripper 💰,"@_lockes_ @ComicalNobody @noobde Yea he do look kinda bonky but hopefully they’ll have a couple different skins , a… https://t.co/zkNJ4HFQcH",-87.77903,41.82158,Neutral
movies_1573870924.565814,Nathalie Michelle,"I will not watch Christmas movies in November. 

I will not watch Christmas movies in November.

I will not watch C… https://t.co/OekTXvjBlp",-77.1194,38.801826,Neutral
movies_1573870951.345317,Hope Lawrence-Noell,First night into Disney Plus and Hazel absolutely INSISTED that I put on Avatar in lieu of the plethora of Princess… https://t.co/lkZTr4LtSE,-89.57151,36.497128,Positive
movies_1573871000.216877,ʀᴀᴇ,Actually hyped bc Disney+ has the old school Mickey movies #orginalcartoons,-84.710724,39.052963,Positive
movies_1573871020.040498,💖 Mark Saunders - Fitness Coach,"60 Second Fit Tip: ""Fitness Goal Creation"" 

#fitover40 #fitover50 #fittips #fitnessmotivation
#fitnessinspiration… https://t.co/dncAWojabQ",-110.98012,32.25031,Positive
movies_1573871035.272193,Deanne🦁,It actually seriously offends me that Christian doesn’t like horror movies,-112.03831,40.699894,Negative
movies_1573871043.416764,leanne royo,i heard about this on NPR and yknow what?!! 100% would do this and take it seriously,-118.6684,33.704536,Negative
movies_1573871050.916377,Anna Claire,I will never like scary movies,-91.63368,41.991306,Negative
movies_1573871057.413798,Filthy Mouthed CHAMP⚾️⚾️⚾️,It’s the battle of streaming services tonight! #ForAllMankind on AppleTV and then...as many Disney movies as I can stay awake for,-77.06409,38.979736,Positive
movies_1573871084.488545,Adil Alimi Bin Mohd,Lets go!,100.33132,5.530437,Neutral
movies_1573871113.143854,Beto,Might buy th Star Wars video game since I’m feeling very nerdy rewatching these movies,-119.95385,39.35075,Negative
movies_1573871145.760113,Matt Connolly,"Just finished and yea, they don’t make Disney movies like they used to... so good.",-83.35396,32.04683,Positive
movies_1573871170.809969,JB ☀️🇻🇨,Same kind of different as me is one the sweetest movies I’ve seen in years,-79.63932,43.40322,Positive
movies_1573871258.040282,Bruce Dow,"@trixiemattel What the hell is that thing from?!  I wanna watch that and clap for that! (Oh, and we used to clap at… https://t.co/evcrXNIsS9",-79.63932,43.40322,Neutral
movies_1573871291.25225,Turd👑,ok yearly trial run still hate horror movies,-74.02667,40.683933,Negative
movies_1573871335.769482,Larry the King of Gods.,"@chuckwoolery Got a lot of time to watch movies, with not having a career, I see.",-88.1398,44.47174,Neutral
movies_1573871368.818418,Filthy Mouthed CHAMP⚾️⚾️⚾️,"The real question is, is there an app so I can watch all the animated movies on my iPad in bed? #DisneyPlus",-77.06409,38.979736,Positive
movies_1573871382.473753,Kinky K8 🌻,People keep saying this but like...... I’m supposed to play thanksgiving music????? Thanksgiving movies?????,-81.52036,28.06195,Neutral
movies_1573871537.304868,Amanda,@CheyBishop09 I actually just got Disney+ I used to work at Walt Disney World. What good movies are on there just curious lol,-84.09989,38.95095,Positive
movies_1573871568.837387,Dr3wTheGiant,"@AwesomEmergency Same with the Disney Channel movies, they are pretty bad quality granted they're older movies.",-117.83466,34.018284,Negative
movies_1573871573.928576,spacebitch 🔮,"i gave chris the choice between 3 movies to watch tonight: luck of the irish, brink, and smart house. he has not seen any of these.",-82.2939,28.962902,Positive
movies_1573871688.186166,Rebekah Elizabeth,"Random guy just now “I snuck a while to-go box in the movies once. Baked potatoe, some broccoli” 

A legend.",-92.45237,31.303097,Negative
movies_1573871734.644638,G®️umpy S©️tsman™️,"Another  one for the Snowflake society we live in today. 

Disney+ have added Disclaimers to Dumbo and Peter Pan re… https://t.co/l5DPqRLOeU",115.79036,-32.374306,Positive
movies_1573871738.237325,Denise McDonough,Game on.,-90.418106,41.696087,Negative
movies_1573871744.018486,pickle despiser,American History X is trending on Netflix. I wonder how many kids are watching it for the first time. One of the best movies ever,-118.6684,33.704536,Positive
movies_1573871761.392333,ShaylaShaneice ❣️,My night consist of watching Disney movies 🤗,-77.44753,37.17116,Neutral
movies_1573871808.634562,tina sneaux,I’m gonna have to watch all of the Star Wars movies in order.,-84.38655,30.365093,Neutral
movies_1573871834.079065,aaron albers,@JackWhidden3 I have been at the movies watching the @MidwayMovie is it bad?,-80.17725,26.785414,Negative
movies_1573871851.416038,abc haskins,@Super70sSports One of the BEST movies EVER.  Hilarious,-70.88473,42.636913,Positive
movies_1573871856.18449,VicDRadio,I’m power ranking the top 5 Disney channel original movies tonight (the ones you only got on TV) and I’m prob more… https://t.co/cuaSiZ5ZWA,-119.17218,35.25582,Positive
movies_1573871868.031342,Vodka King 🇹🇹,@koretta @blamefitz Ma'am lol mom watching xmas movies an begging to watch it with her I'm busy on tinder I mean pc pc PC,-61.930542,10.042419,Positive
movies_1573871942.296356,Vicky Leandra,@DisneyPlusHelp I just want to know why I am not able to play again movies that I have already watched...😞☹️,-82.5444,35.371967,Negative
movies_1573872104.589107,💸Goddess Bambi 2k 💸,"Just subscribed to Disney+ I think it’s broken though? 
My movies look kinda weird, anyone know what the deal is. https://t.co/gEvLl5iMrK",-124.848976,45.54354,Negative
movies_1573872123.647796,KEN ELKS,I love @disneyplus @Disney all my life.  I am happy for the captions. Yep 35 millions Deaf in the country.  Thanks… https://t.co/NDK4GxokmL,-76.22808,36.672684,Positive
movies_1573872148.642149,Shah Noor Butt,Someone’s salty,-73.93361,40.785366,Neutral
movies_1573872177.718577,Korinne S👑✨🔮♏️,All the previews you see in the movies  be lookin good af then you forget all them shits once you leave 😭😂,-82.79775,39.84143,Positive
movies_1573872198.787396,Ladylike,@TheOriginalRD I have AMC A-List and it would be a shame to not get my money’s worth with these Dolby movies.,-86.34844,39.631676,Positive
movies_1573872277.200152,Douglas Dale Wickselljr,I'm watching Beverly Hills Cop III on Pluto TV! Check it out! https://t.co/latwvOs1KM Via @PlutoTV,-122.218124,47.383183,Neutral
movies_1573872288.658427,uhlexis,"Absolutely love Fifty Shades of Grey. books and movies, let’s fight about it",-111.00435,41.222363,Positive
movies_1573872337.374666,Tyler Rathke,@bauman_melissa @ChrismanBears If you list 10 movies I’m lucky if I’ve seen 2.,-94.487114,39.01759,Positive
movies_1573872372.267425,Michael,"This #DrSleep was a snooze huh..
today’s audience never heard of #kubrick .. eh.. #movies",-118.6684,33.704536,Neutral
movies_1573872380.791626,JB,"Spider-Verse
Zootopia
Megamind
The LEGO Movie (I’m counting it)
Inside Out
How to Train Your Dragon
Teen Titans Go!… https://t.co/W7oXpTkE6X",-90.310295,34.982925,Neutral
movies_1573872498.523147,LynLue💫,Any mommy friends wanna plan a play date and bing watch Disney movies with kiddos lol??? Need mom friends 😂😂,-105.01554,39.838924,Positive
movies_1573872512.109348,Robert J Blake,"I’m a big fan also, but I mostly watch his westerns. What a talented man !",-92.889435,42.49192,Positive
movies_1573872525.93962,Ashley 🌸 ⚓️🔮💜♈️,The Santa clause is on #disneyplus and I can finally breath. Woth my boy watching movies 💖❤️ forever beanie https://t.co/0YcB4uRowV,-81.32599,28.173431,Neutral
movies_1573872539.945134,youngbreezy✨,"@disneyplus how y’all got certain movies scheduled to drop in JULY of 2020, nigga what? These movies old why would… https://t.co/W3qFBczYS5",-85.60516,30.355644,Positive
movies_1573872654.294083,Ty.♊️,"I’m just up watching movies, Tylah’s sleep.",-83.374825,30.762484,Neutral
movies_1573872751.100976,Steven Ball,"#deardiary
Was a long ass day at work. But now its done and im gonna hang eith some frjend and get snozzled. Just a… https://t.co/1yfXeyxhVb",-102.03377,33.44712,Negative
movies_1573872756.807026,L.E.N.G,Any good movies recently?,101.55956,3.199828,Positive
movies_1573872788.033869,G_REG,"My life could be drastically changing for the better this next week. Talk about make or fucking break, this is the… https://t.co/dvyIALCvQj",-74.036896,40.859863,Negative
movies_1573872842.075591,Richard B.,Same,-83.67529,36.540737,Neutral
movies_1573872859.682285,Daddy Files,Hallmark Christmas movies are coming and they are all awful. All of them. Don't @ me.,-71.57581,42.116844,Negative
movies_1573872860.647532,Stuff You Like A Turkey,@MaxxAtom They’re trying to suck in all the people who WILL want to watch those movies,-84.57683,33.647503,Neutral
movies_1573872944.48338,Alondra Wences,Disney+ is the best thing to ever happen tbh. That’s all I’VE been watching.... I would say “we” but my kids would… https://t.co/M7JKYQuJfy,-97.187546,33.128937,Positive
movies_1573872957.804714,tasha 1 🕊,it’s basically christmas season and i’m out here watching disney halloween movies still,-70.91827,41.581993,Neutral
movies_1573873029.082016,Cassidy Cantwell,Also watching Gargoyles 😭😂,-118.6684,33.704536,Neutral
movies_1573873101.23638,#LNITR📸🎬‼️,Aite since everybody and they cousin got my Disney +... who want my BET + ... it got some good ass black movies,-90.13578,34.99419,Positive
movies_1573873133.535505,𝐃𝐘𝐊𝐖𝐘𝐀,They be like: pass that bitch thru the team,-78.91834,38.387444,Neutral
movies_1573873169.031513,Katie,Seeing 2 movies in one night. Thanks @AMCTheatres and the AMC A List.,-85.60516,30.355644,Positive
movies_1573873197.020561,Stephanie,"TELL US ABOUT YOURSELF

1. Stephanie
2. Single
3. Graveyard by HALSEY (currently)
4. Around 20k
5. Twitter
6. C
7.… https://t.co/SashjldfvZ",-73.962585,40.54172,Negative
movies_1573873204.536625,Jessica Gonzalez,"Watching so many movies I’ve never seen before, this week was Remember the Titans and I was crying like a little BITCH😅",-117.83466,34.018284,Positive
movies_1573873216.496385,TheOnlyKyahImani 🌺,literally one of my favorite movies,-74.04188,40.570843,Positive
movies_1573873304.837543,Bri,"When we first started dating and going to the movies, I would always order popcorn and ask Danny if he wanted some, he would say no.",-117.6836,33.99721,Positive
movies_1573873335.603287,Mr. MojoRisin' ☕️ Enjoyin' My Coffee,"@hoagiebum Quentin Tarantino movies always have memorable quotes. Ordell Robbie, great character name as well.",-124.482,32.52883,Positive
movies_1573873346.651831,Bri,NOW we go to the movies and he’s always like.... ArE wE gEtTiNg PopCoRn?? lEtS gEt a LaRgE lmao,-117.6836,33.99721,Positive
movies_1573873357.135941,lauren,my night was made i saw mr thornton at the movies 😭,-81.416695,35.656815,Neutral
movies_1573873379.344281,Terri L Brown,"#hallmarkchannel #Hallmark are you going to have any others race in your movies; because right now it looks like, Not1",-81.046875,35.001705,Positive
movies_1573873419.168802,Tee-Kay,Get $1000 To Watch Hallmark Christmas Movies https://t.co/oqbRHPSn3n,-98.764725,29.495565,Neutral
movies_1573873425.495793,VASQUEZ,The timer always last forever in movies.,-122.03531,37.193165,Neutral
movies_1573873442.727563,William McCoy,I love how unrealistic track practice is in tv/movies. You mean to tell me you’re having a conversation while running a 400? HAH!,-74.04188,40.570843,Negative
movies_1573873448.684742,#CrankyMovieReview,"Whole lot of great looking movies left to come out in 2019.

My early prediction for best of what’s left is… https://t.co/8r8XhDjtyl",-82.85961,42.630077,Positive
movies_1573873458.088652,Mel Sherman,"Has anyone rewatched @Disney @disneyplus movies as an adult and thought... hmm? This is (classic, brilliant, ridicu… https://t.co/BwUDmZby4y",-83.69478,41.580376,Positive
movies_1573873487.350947,josh ϟ,Harry Potter are Christmas movies idc what y’all say,-98.77856,29.141956,Neutral
movies_1573873508.331993,Lil,"“Black and white movies scare me.”
“Why, you can’t see half of the colors anyways.”",-80.51985,39.719803,Negative
movies_1573873514.290253,Mrs. JenzyJenJenzinitaIn BitchinSurgicalMenopause,"#FrightClub 
I love movies before computers.  Look, he’s writing!",-118.62788,34.347485,Positive
movies_1573873528.679255,Mallory C.,All these movies on #DisneyPlus but no Model Behavior https://t.co/33cB7hoxMP,-73.962585,40.54172,Neutral
movies_1573873541.182417,india.,Spongebob?! On NETFLIX?! Yesssssiiirrrrr.,-79.08315,35.869377,Neutral
movies_1573873550.337155,michael dunning,(Quatrain-247) the entire planet has been filmed by video &amp; pictures from news Hollywood movies satellites airplane… https://t.co/sleKt6Uj1j,-74.31439,41.061012,Neutral
movies_1573873554.222055,FJ Powers,@skipbolden Indeed and the the best and my favorite Bond. I stated with him going to see Dr No with my parents .I w… https://t.co/k9xySPRJ2R,-80.203995,26.320692,Positive
movies_1573873648.220713,m a s o n,@KoryStamper They tried showing Bergman movies on Norwegian TV but had to cancel because they were too fast. People had heart attacks.,-97.92893,30.127892,Positive
movies_1573873683.71487,Tay,I’m pumped to cuddle up with my husband and watch marvel movies all weekend!,-84.82031,38.403187,Neutral
movies_1573873691.452636,George,"Doctor Sleep!!

What an incredible movie. 

An incredible sequel to one of my favorite ""horror"" movies, The Shining.",-97.92893,30.127892,Positive
movies_1573873758.421074,casey kidik,"marvel movies are somehow much longer when I watch them at home. in the theater, endgame was nothing, but now the f… https://t.co/6855Jdgc5M",-71.19142,42.2278,Positive
movies_1573873760.646649,Emiah James,One of my all time favorite movies,-122.51492,37.708076,Positive
movies_1573873784.461315,duckcore,Mary Poppins is easily top 5 Disney movies of all time,-81.507904,28.388218,Positive
movies_1573873791.805784,austin,Monsters Inc has got to be one of the best @Disney @Pixar movies of all time 😍😍 one of my favorites. Thank you… https://t.co/KSlYPT2vYe,-87.94003,41.6441,Positive
movies_1573873811.289002,$haye,Disney plus is kind of overwhelming... Where do I start?? Do I watch a show?? Movie?? Switch between shows and movi… https://t.co/kdws1Bikbc,-80.203995,26.320692,Positive
movies_1573873845.183425,Nwlaguy,This is really true. Though I like Battle of Bulge more the star power in this was impressive,-93.078964,32.763573,Positive
movies_1573873853.60357,Rebecca Eisenberg,Just requested My Date With the President’s Daughter bc that is a GLARING error,-118.6684,33.704536,Neutral
movies_1573873892.436626,ಪ್ಯಾಂಟಮ್,@Puneeth80977184 @sanahthimmayyah @PrasannaSH17 🤣🤣😂😂😂 d boos du all industry hit movies https://t.co/2KkPjuo3Td,74.72706,15.31192,Neutral
movies_1573873893.063821,mk ☯︎,"honestly it’s great that my aunt cries like a baby at movies too because literally all we do is watch them and cry together, it’s great",-76.28311,43.115368,Positive
movies_1573873908.920807,Kaylee 🌻💛,all i really wanna do rn is cuddle and watch movies but i’m currently alone so i’m gonna go cuddle with my mom and… https://t.co/DjZm5jQaVz,-87.63464,24.396309,Positive
movies_1573873930.233858,jacey peppers,"me and my friends went to the movies to watch Charlie’s Angels and when @noahcent came on the screen, everyone in the theater gasped",-87.39268,35.1826,Neutral
movies_1573873959.593159,CJ 🌹,Man what happened to all the scary movies that was supposed to come out this year,-88.3016,30.523874,Negative
movies_1573873960.566196,V I X E N,These Disney Channel movies were abnormally long lol Jesus Christ,-95.823265,29.522326,Positive
movies_1573874003.98811,"Kaylon ""gobbling mash potatoes"" King",Dads in Disney Channel Original Movies are THE WORST,-87.94003,41.6441,Negative
movies_1573874027.514019,George,So we really just a bunch of grown ass adults making sex jokes about Disney+ movies huh,-97.92893,30.127892,Positive
movies_1573874054.298866,Whet Moser,@Ess_Dog Ohhhh maybe so. As long as it is acknowledged that his big dumb 90s movies were what we needed at the time,-87.94003,41.6441,Negative
movies_1573874062.846079,Mr. Lamb Fries,"@lindseyyok I’m not ashamed to say that those movies are awesome!  Nice, wholesome stories where people are polite and have manners.",-75.029465,39.96743,Positive
movies_1573874074.440087,Rob,"@msbq ""But in this fictional, Boba Fett does this cool thing!""
""Yeah, but in the movies, his defective jetpack forc… https://t.co/iwiSzEnBq0",-122.43623,47.495316,Positive
movies_1573874121.842843,run me my money,My Mawmaw watch the same 5 hallmark movies everyday,-91.218994,30.35416,Negative
movies_1573874122.921715,傻子,This is literally “you can take the childhood out of the man but you can’t take the man out of his childhood” momen… https://t.co/ZQQIWtenx9,144.59373,-38.43386,Neutral
movies_1573874185.961258,» Holly!,Disney+ allows me to watch the original movies and that's all I care about because on this Friday night I get to fo… https://t.co/aJ4qVlbscJ,-122.51492,37.708076,Positive
movies_1573874338.412776,🏳️‍🌈Em Keefner🏵,"Don't mind me, just working my way through all the 90's live action movies on Disney+.",-80.23529,32.944965,Positive
movies_1573874363.696584,not a cult leader... yet,No that's a mandate. A Mandalorian is the car from the Back to the Future movies,-78.87279,42.80355,Neutral
movies_1573874448.480123,Julia,Get out of my head!,174.61327,-41.362453,Neutral
movies_1573874485.886543,🧢Gigi🧢,@ElmSahd @PrimeVideo Nope! Haven't seen that at all. I try to stay away from shows after the heartbreaking end of G… https://t.co/f12EtYCKtH,-110.44933,31.434345,Neutral
movies_1573874518.08734,I AM NADINE! HEAR ME ROAR!🐻🐯🐼🦁,I got Hmmm...looks like you've seen less than half of Gwyneth Paltrow's movies! https://t.co/xuEuX12aHi,-117.97685,33.903618,Negative
movies_1573874530.010255,Neddy Teddy,@magichair_18 movies?,103.05776,3.617641,Neutral
movies_1573874576.376911,MacKenzie Rivera,watched movies on Disney+ all day with Steven and I’m not even ashamed about it. 🤷🏼‍♀️ #adultingdoesntsuck,-103.002655,33.615765,Neutral
movies_1573874596.084106,Peter Rossi,#FORDvFERRARI was excellent and one of the best movies I've seen all year. https://t.co/DamBaEBjtO,-80.36951,26.029537,Positive
movies_1573874611.023901,Stormi Rodriguez,I’ve spent the last ten minutes staring at all the Princess movies on Disney+ trying to decide which I want to watc… https://t.co/SJC6BBkrnB,-95.823265,29.522326,Negative
movies_1573874705.685301,dec 3rd baybeeeeee,should i get wine drunk and watch all the disney princess movies??,-97.538284,32.569477,Negative
movies_1573874770.861039,lex👸🏼🌸,I can’t wait to go home and watch Disney movies w my pup drunk,-71.47419,41.772453,Negative
movies_1573874801.716706,Josh,Clint Eastwood.  89 years old.  Still making movies.  The epitome of age doesn't matter.,-80.23409,26.210625,Positive
movies_1573874815.918619,The MN Movie Man,@zachbgilbert She’s definitely getting an AARP Movies For Grownups nomination...though a random BAFTA nom wouldn’t be out of the question.,-93.32951,44.889965,Negative
politics_1573877038.945928,🇬🇧😂🏴God®🇲🇳Khuda™️😂Bhagwan©️😡👍☀️🇧🇹😒🗺📌,And from the starting  We used to say  you as  (  RAM  )  Sena in whatever field you are like in farming or agricul… https://t.co/MrLGvRHlmu,78.86122,20.755232,Neutral
politics_1573877054.104458,Cam_Walker,"'Shabby' and 'mediocre' kind of sums up his government, not just these policies.",144.16798,-37.10687,Positive
politics_1573877078.923509,Kris Colvin,It’s tough to be a criminal at the highest levels of governance. Not sorry it’s not easier on this fecal matter who… https://t.co/JEGQxozLkX,-82.39106,34.844856,Negative
politics_1573877088.398602,Maribel Brandt,"Trump ignores Pentagon advice and intervenes in military war crimes cases

https://t.co/bRLAgZEgTe",-96.70615,32.829815,Negative
politics_1573877120.811808,Hitesh@patel,This is how  opposition work don't Dream for Chair dream about India U will be learn something  between Politics &amp;… https://t.co/rfrG6ZoZlA,72.430084,22.79756,Neutral
politics_1573877125.392651,Maribel Brandt,"Donald Trump's very historic and very bad week

https://t.co/7SmU2AApn0",-96.70615,32.829815,Negative
politics_1573877132.566996,TeslaQueen,"Somebody needs to lock up Rudy Giuliani! While they’re at it, throw Trump in there with him!#AbuseOfPower… https://t.co/daktvAdXOP",-122.03531,37.193165,Neutral
politics_1573877142.375579,Whitney and Robyn were scissor sisters.,Left Eye was looking like “who tf are you talking to?” Lmfaoooooooo folks forget Lisa was from Philly.,-80.02952,35.962624,Neutral
politics_1573877179.952903,Left Crew Politics,"Dear god, please let him say that under oath to congress.",-118.6684,33.704536,Neutral
